event_id,event_name,date,artist_name,support_act,average_price,tickets_sold,tickets_available,revenue,genre,capacity,venue_id,venue_name,venue_city,venue_state,venue_country
,Divide Tour,2019-08-23,Ed Sheeran,The Darkness Passenger,92.24777117384843,139984,181548,"$12,913,212","pop, singer-songwriter pop, uk pop",181548,,Chantry Park,Ipswich,Suffolk,England
,Divide Tour,2019-08-24,Ed Sheeran,The Darkness Passenger,92.24777117384843,139984,181548,"$12,913,212","pop, singer-songwriter pop, uk pop",181548,,Chantry Park,Ipswich,Suffolk,England
,Divide Tour,2019-08-25,Ed Sheeran,The Darkness Lewis Capaldi,92.24777117384843,139984,181548,"$12,913,212","pop, singer-songwriter pop, uk pop",181548,,Chantry Park,Ipswich,Suffolk,England
,Divide Tour,2019-08-26,Ed Sheeran,The Darkness Lewis Capaldi,92.24777117384843,139984,181548,"$12,913,212","pop, singer-songwriter pop, uk pop",181548,,Chantry Park,Ipswich,Suffolk,England
,Maths Tour,2022-04-23,Ed Sheeran,Maisie Peters Denise Chaila,88.39106821271719,140487,151045,"$12,417,796","pop, singer-songwriter pop, uk pop",151045,,Croke Park,Dublin,Leinster,Ireland
,Maths Tour,2022-04-24,Ed Sheeran,Maisie Peters Denise Chaila,88.39106821271719,140487,151045,"$12,417,796","pop, singer-songwriter pop, uk pop",151045,,Croke Park,Dublin,Leinster,Ireland
,Maths Tour,2022-04-28,Ed Sheeran,Maisie Peters Denise Chaila,85.10386188625414,68697,78645,"$5,846,380","pop, singer-songwriter pop, uk pop",78645,,Páirc Uí Chaoimh,Cork,Munster,Ireland
,Maths Tour,2022-04-29,Ed Sheeran,Maisie Peters Denise Chaila,85.10386188625414,68697,78645,"$5,846,380","pop, singer-songwriter pop, uk pop",78645,,Páirc Uí Chaoimh,Cork,Munster,Ireland
,Maths Tour,2022-05-05,Ed Sheeran,Maisie Peters Denise Chaila,84.15993849142117,61780,63234,"$5,199,401","pop, singer-songwriter pop, uk pop",63234,,Thomond Park,Limerick,County Limerick,Ireland
,Maths Tour,2022-05-06,Ed Sheeran,Maisie Peters Denise Chaila,84.15993849142117,61780,63234,"$5,199,401","pop, singer-songwriter pop, uk pop",63234,,Thomond Park,Limerick,County Limerick,Ireland
,Maths Tour,2022-05-12,Ed Sheeran,Maisie Peters Denise Chaila,86.18037514111998,73519,80604,"$6,335,895","pop, singer-songwriter pop, uk pop",80604,,Boucher Road Playing Fields,Belfast,Northern Ireland,Northern Ireland
,Maths Tour,2022-05-13,Ed Sheeran,Maisie Peters Denise Chaila,86.18037514111998,73519,80604,"$6,335,895","pop, singer-songwriter pop, uk pop",80604,,Boucher Road Playing Fields,Belfast,Northern Ireland,Northern Ireland
,Maths Tour,2022-05-26,Ed Sheeran,Maisie Peters Dylan,80.62764030405951,185490,236082,"$14,955,621","pop, singer-songwriter pop, uk pop",236082,,Principality Stadium,Cardiff,Wales,Wales
,Maths Tour,2022-05-27,Ed Sheeran,Maisie Peters Dylan,80.62764030405951,185490,236082,"$14,955,621","pop, singer-songwriter pop, uk pop",236082,,Principality Stadium,Cardiff,Wales,Wales
,Maths Tour,2022-05-28,Ed Sheeran,Maisie Peters Dylan,80.62764030405951,185490,236082,"$14,955,621","pop, singer-songwriter pop, uk pop",236082,,Principality Stadium,Cardiff,Wales,Wales
,Maths Tour,2022-06-03,Ed Sheeran,Maisie Peters Dylan,83.38421432657233,106641,114311,"$8,892,176","pop, singer-songwriter pop, uk pop",114311,,Stadium of Light,Sunderland,England,England
,Maths Tour,2022-06-04,Ed Sheeran,Maisie Peters Dylan,83.38421432657233,106641,114311,"$8,892,176","pop, singer-songwriter pop, uk pop",114311,,Stadium of Light,Sunderland,England,England
,Maths Tour,2022-06-09,Ed Sheeran,Maisie Peters Dylan,82.55203783405523,218639,218639,"$18,049,095","pop, singer-songwriter pop, uk pop",218639,,Etihad Stadium,Manchester,England,England
,Maths Tour,2022-06-10,Ed Sheeran,Maisie Peters Dylan,82.55203783405523,218639,218639,"$18,049,095","pop, singer-songwriter pop, uk pop",218639,,Etihad Stadium,Manchester,England,England
,Maths Tour,2022-06-11,Ed Sheeran,Maisie Peters Dylan,82.55203783405523,218639,218639,"$18,049,095","pop, singer-songwriter pop, uk pop",218639,,Etihad Stadium,Manchester,England,England
,Maths Tour,2022-06-12,Ed Sheeran,Maisie Peters Dylan,82.55203783405523,218639,218639,"$18,049,095","pop, singer-songwriter pop, uk pop",218639,,Etihad Stadium,Manchester,England,England
,Maths Tour,2022-06-16,Ed Sheeran,Maisie Peters Dylan,80.20722274597189,93344,109713,"$7,486,863","pop, singer-songwriter pop, uk pop",109713,,Hampden Park,Glasgow,Scotland,Scotland
,Maths Tour,2022-06-17,Ed Sheeran,Maisie Peters Dylan,80.20722274597189,93344,109713,"$7,486,863","pop, singer-songwriter pop, uk pop",109713,,Hampden Park,Glasgow,Scotland,Scotland
,Maths Tour,2022-06-24,Ed Sheeran,Maisie Peters Dylan,88.8142665768829,420269,460165,"$37,325,883","pop, singer-songwriter pop, uk pop",460165,,Wembley Stadium,London,England,England
,Maths Tour,2022-06-25,Ed Sheeran,Maisie Peters Dylan,88.8142665768829,420269,460165,"$37,325,883","pop, singer-songwriter pop, uk pop",460165,,Wembley Stadium,London,England,England
,Maths Tour,2022-06-29,Ed Sheeran,Maisie Peters Dylan,88.8142665768829,420269,460165,"$37,325,883","pop, singer-songwriter pop, uk pop",460165,,Wembley Stadium,London,England,England
,Maths Tour,2022-06-30,Ed Sheeran,Maisie Peters Dylan,88.8142665768829,420269,460165,"$37,325,883","pop, singer-songwriter pop, uk pop",460165,,Wembley Stadium,London,England,England
,Maths Tour,2022-07-01,Ed Sheeran,Maisie Peters Dylan,88.8142665768829,420269,460165,"$37,325,883","pop, singer-songwriter pop, uk pop",460165,,Wembley Stadium,London,England,England
,Maths Tour,2022-07-07,Ed Sheeran,Maisie Peters Cat Burns,75.22331155878034,182476,193055,"$13,726,449","pop, singer-songwriter pop, uk pop",193055,,Veltins-Arena,Gelsenkirchen,North Rhine-Westphalia,Germany
,Maths Tour,2022-07-08,Ed Sheeran,Maisie Peters Cat Burns,75.22331155878034,182476,193055,"$13,726,449","pop, singer-songwriter pop, uk pop",193055,,Veltins-Arena,Gelsenkirchen,North Rhine-Westphalia,Germany
,Maths Tour,2022-07-09,Ed Sheeran,Maisie Peters Cat Burns,75.22331155878034,182476,193055,"$13,726,449","pop, singer-songwriter pop, uk pop",193055,,Veltins-Arena,Gelsenkirchen,North Rhine-Westphalia,Germany
,Maths Tour,2022-07-14,Ed Sheeran,Maisie Peters Cat Burns,64.4070787882403,134119,134119,"$8,638,213","pop, singer-songwriter pop, uk pop",134119,,Johan Cruyff Arena,Amsterdam,North Holland,Netherlands
,Maths Tour,2022-07-15,Ed Sheeran,Maisie Peters Cat Burns,64.4070787882403,134119,134119,"$8,638,213","pop, singer-songwriter pop, uk pop",134119,,Johan Cruyff Arena,Amsterdam,North Holland,Netherlands
,Maths Tour,2022-07-22,Ed Sheeran,Maisie Peters Cat Burns Dylan,79.18892919701742,104473,127999,"$8,273,105","pop, singer-songwriter pop, uk pop",127999,,King Baudouin Stadium,Brussels,Brussels,Belgium
,Maths Tour,2022-07-23,Ed Sheeran,Maisie Peters Cat Burns Dylan,79.18892919701742,104473,127999,"$8,273,105","pop, singer-songwriter pop, uk pop",127999,,King Baudouin Stadium,Brussels,Brussels,Belgium
,Maths Tour,2022-07-29,Ed Sheeran,Maisie Peters Cat Burns,64.56671703725024,166764,166764,"$10,767,404","pop, singer-songwriter pop, uk pop",166764,,Stade de France,Saint-Denis,Île-de-France,France
,Maths Tour,2022-07-30,Ed Sheeran,Maisie Peters Cat Burns,64.56671703725024,166764,166764,"$10,767,404","pop, singer-songwriter pop, uk pop",166764,,Stade de France,Saint-Denis,Île-de-France,France
,Maths Tour,2022-08-03,Ed Sheeran,Maisie Peters Cat Burns,90.4998469563443,156818,158819,"$14,192,005","pop, singer-songwriter pop, uk pop",158819,,Øresundsparken,Copenhagen,Capital Region of Denmark,Denmark
,Maths Tour,2022-08-04,Ed Sheeran,Maisie Peters Cat Burns,90.4998469563443,156818,158819,"$14,192,005","pop, singer-songwriter pop, uk pop",158819,,Øresundsparken,Copenhagen,Capital Region of Denmark,Denmark
,Maths Tour,2022-08-05,Ed Sheeran,Maisie Peters Cat Burns,90.4998469563443,156818,158819,"$14,192,005","pop, singer-songwriter pop, uk pop",158819,,Øresundsparken,Copenhagen,Capital Region of Denmark,Denmark
,Maths Tour,2022-08-06,Ed Sheeran,Maisie Peters Dylan,90.4998469563443,156818,158819,"$14,192,005","pop, singer-songwriter pop, uk pop",158819,,Øresundsparken,Copenhagen,Capital Region of Denmark,Denmark
,Maths Tour,2022-08-10,Ed Sheeran,Maisie Peters Cat Burns,79.0907277005063,120283,129350,"$9,513,270","pop, singer-songwriter pop, uk pop",129350,,Ullevi,Gothenburg,Västra Götaland County,Sweden
,Maths Tour,2022-08-11,Ed Sheeran,Maisie Peters Cat Burns,79.0907277005063,120283,129350,"$9,513,270","pop, singer-songwriter pop, uk pop",129350,,Ullevi,Gothenburg,Västra Götaland County,Sweden
,Maths Tour,2022-08-20,Ed Sheeran,Maisie Peters Cat Burns,90.63340261855272,46667,46667,"$4,229,589","pop, singer-songwriter pop, uk pop",46667,,Helsinki Olympic Stadium,Helsinki,Uusimaa,Finland
,Maths Tour,2022-08-25,Ed Sheeran,Maisie Peters Cat Burns,61.88530135301353,146340,146340,"$9,056,295","pop, singer-songwriter pop, uk pop",146340,,PGE Narodowy,Warsaw,Masovian Voivodeship,Poland
,Maths Tour,2022-08-26,Ed Sheeran,Maisie Peters Cat Burns,61.88530135301353,146340,146340,"$9,056,295","pop, singer-songwriter pop, uk pop",146340,,PGE Narodowy,Warsaw,Masovian Voivodeship,Poland
,Maths Tour,2022-09-01,Ed Sheeran,Maisie Peters Cat Burns,75.42078525641026,124800,130598,"$9,412,514","pop, singer-songwriter pop, uk pop",130598,,Ernst-Happel-Stadion,Vienna,Vienna,Austria
,Maths Tour,2022-09-02,Ed Sheeran,Maisie Peters Cat Burns,75.42078525641026,124800,130598,"$9,412,514","pop, singer-songwriter pop, uk pop",130598,,Ernst-Happel-Stadion,Vienna,Vienna,Austria
,Maths Tour,2022-09-10,Ed Sheeran,Griff Cat Burns,78.37740778483794,200184,215031,"$15,689,903","pop, singer-songwriter pop, uk pop",215031,,Olympiastadion,Munich,Bavaria,Germany
,Maths Tour,2022-09-11,Ed Sheeran,Griff Cat Burns,78.37740778483794,200184,215031,"$15,689,903","pop, singer-songwriter pop, uk pop",215031,,Olympiastadion,Munich,Bavaria,Germany
,Maths Tour,2022-09-12,Ed Sheeran,Griff Cat Burns,78.37740778483794,200184,215031,"$15,689,903","pop, singer-songwriter pop, uk pop",215031,,Olympiastadion,Munich,Bavaria,Germany
,Maths Tour,2022-09-16,Ed Sheeran,Griff Cat Burns,127.30422579298832,95840,96739,"$12,200,837","pop, singer-songwriter pop, uk pop",96739,,Letzigrund,Zürich,Zürich,Switzerland
,Maths Tour,2022-09-17,Ed Sheeran,Griff Cat Burns,127.30422579298832,95840,96739,"$12,200,837","pop, singer-songwriter pop, uk pop",96739,,Letzigrund,Zürich,Zürich,Switzerland
,Maths Tour,2022-09-23,Ed Sheeran,Griff Cat Burns,73.56746839042744,182856,184201,"$13,452,253","pop, singer-songwriter pop, uk pop",184201,,Deutsche Bank Park,Frankfurt,Hesse,Germany
,Maths Tour,2022-09-24,Ed Sheeran,Griff Cat Burns,73.56746839042744,182856,184201,"$13,452,253","pop, singer-songwriter pop, uk pop",184201,,Deutsche Bank Park,Frankfurt,Hesse,Germany
,Maths Tour,2022-09-25,Ed Sheeran,Griff Cat Burns,73.56746839042744,182856,184201,"$13,452,253","pop, singer-songwriter pop, uk pop",184201,,Deutsche Bank Park,Frankfurt,Hesse,Germany
,Minus Tour,2023-03-24,Ed Sheeran,Cian Ducrot,107.22988920667537,36013,36456,"$3,861,670","pop, singer-songwriter pop, uk pop",36456,,The O2 Arena,London,England,England
,Minus Tour,2023-03-25,Ed Sheeran,Cian Ducrot,107.22988920667537,36013,36456,"$3,861,670","pop, singer-songwriter pop, uk pop",36456,,The O2 Arena,London,England,England
,Minus Tour,2023-03-27,Ed Sheeran,,107.14004376367616,2742,2742,"$293,778","pop, singer-songwriter pop, uk pop",2742,,Eventim Apollo,London,England,England
,Minus Tour,2023-03-28,Ed Sheeran,,107.8498705082551,12356,14049,"$1,332,593","pop, singer-songwriter pop, uk pop",14049,,OVO Hydro,Glasgow,Scotland,Scotland
,Minus Tour,2023-03-30,Ed Sheeran,,108.1695322180917,12912,12991,"$1,396,685","pop, singer-songwriter pop, uk pop",12991,,3Arena,Dublin,Leinster,Ireland
,Minus Tour,2023-04-02,Ed Sheeran,Cian Ducrot,106.13224682756903,16076,16106,"$1,706,182","pop, singer-songwriter pop, uk pop",16106,,Accor Arena,Paris,Île-de-France,France
,Minus Tour,2023-04-10,Ed Sheeran,Ed Sheeran,108.55600814663951,2946,3055,"$319,806","pop, singer-songwriter pop, uk pop",3055,,Kings Theatre,Brooklyn,New York,United States
,Minus Tour,2023-04-17,Ed Sheeran,,109.76241357636708,1591,1595,"$174,632","pop, singer-songwriter pop, uk pop",1595,,Admiralspalast,Berlin,Berlin,Germany
,Minus Tour,2023-05-19,Ed Sheeran,Ben Kweller,113.0,2101,2101,"$237,413","pop, singer-songwriter pop, uk pop",2101,,Ruth Eckerd Hall,Clearwater,Florida,United States
,Minus Tour,2023-07-21,Ed Sheeran,Ben Kweller,109.05956112852664,2233,2233,"$243,530","pop, singer-songwriter pop, uk pop",2233,,Ryman Auditorium,Nashville,Tennessee,United States
,Minus Tour,2023-07-28,Ed Sheeran,Ben Kweller,94.16436813960034,3553,3553,"$334,566","pop, singer-songwriter pop, uk pop",3553,,Chicago Theatre,Chicago,Illinois,United States
,Minus Tour,2023-08-25,Ed Sheeran,Brandy Clark,105.33900760593988,2761,2761,"$290,841","pop, singer-songwriter pop, uk pop",2761,,Paramount Theatre,Seattle,Washington,United States
,Plus Tour,2014-08-21,Ed Sheeran,,56.16138888888889,7200,7200,404362,"pop, singer-songwriter pop, uk pop",7200,,WaMu Theater,Seattle,Washington,United States
,Plus Tour,2014-08-23,Ed Sheeran,,52.746935364041605,10768,10768,567979,"pop, singer-songwriter pop, uk pop",10768,,Ambleside Park,Vancouver,British Columbia,Canada
,Plus Tour,2014-08-26,Ed Sheeran,,56.57648630594522,7485,7485,423475,"pop, singer-songwriter pop, uk pop",7485,,SAP Center,San Jose,California,United States
,Plus Tour,2014-08-27,Ed Sheeran,,45.41770045385779,13220,13220,600422,"pop, singer-songwriter pop, uk pop",13220,,Staples Center,Los Angeles,California,United States
,Plus Tour,2014-08-29,Ed Sheeran,,39.56916666666667,6000,6000,237415,"pop, singer-songwriter pop, uk pop",6000,,The Chelsea,Las Vegas,Nevada,United States
,Plus Tour,2014-08-30,Ed Sheeran,,39.56916666666667,6000,6000,237415,"pop, singer-songwriter pop, uk pop",6000,,The Chelsea,Las Vegas,Nevada,United States
,Plus Tour,2014-08-31,Ed Sheeran,,36.922179860955374,8918,8918,329272,"pop, singer-songwriter pop, uk pop",8918,,Jobing.com Arena,Glendale,Arizona,United States
,Plus Tour,2014-09-03,Ed Sheeran,,51.76060935799782,5514,5514,285408,"pop, singer-songwriter pop, uk pop",5514,,Sprint Center,Kansas City,Missouri,United States
,Plus Tour,2014-09-04,Ed Sheeran,,53.0,5139,5139,272367,"pop, singer-songwriter pop, uk pop",5139,,Wolstein Center,Cleveland,Ohio,United States
,Plus Tour,2014-09-06,Ed Sheeran,,43.86145463979936,11563,11563,507170,"pop, singer-songwriter pop, uk pop",11563,,Merriweather Post Pavilion,Columbia,Maryland,United States
,Plus Tour,2014-09-08,Ed Sheeran,,48.78438869719295,10723,10723,523115,"pop, singer-songwriter pop, uk pop",10723,,Wells Fargo Center,Philadelphia,Pennsylvania,United States
,Plus Tour,2014-09-09,Ed Sheeran,,50.48325314581791,10808,10808,545623,"pop, singer-songwriter pop, uk pop",10808,,Xfinity Center,Mansfield,,United States
,Plus Tour,2014-09-11,Ed Sheeran,,48.14755854890556,6533,6533,314548,"pop, singer-songwriter pop, uk pop",6533,,Time Warner Cable Arena,Charlotte,North Carolina,United States
,Plus Tour,2014-09-12,Ed Sheeran,,51.2507546356188,9276,9276,475402,"pop, singer-songwriter pop, uk pop",9276,,Arena at Gwinnett Center,Duluth,Georgia,United States
,Plus Tour,2014-09-13,Ed Sheeran,,55.64421855146124,10231,10231,569296,"pop, singer-songwriter pop, uk pop",10231,,Bridgestone Arena,Nashville,Tennessee,United States
,Plus Tour,2014-09-15,Ed Sheeran,,50.7601375385345,8434,8434,428111,"pop, singer-songwriter pop, uk pop",8434,,Target Center,Minneapolis,Minnesota,United States
,Plus Tour,2014-09-16,Ed Sheeran,,50.54386631219142,10532,10532,532328,"pop, singer-songwriter pop, uk pop",10532,,Allstate Arena,Rosemont,Illinois,United States
,Plus Tour,2014-09-17,Ed Sheeran,,53.10375447889079,6419,6419,340873,"pop, singer-songwriter pop, uk pop",6419,,The Palace of Auburn Hills,Auburn Hills,Michigan,United States
,Plus Tour,2014-09-18,Ed Sheeran,,54.74533766600735,14156,14156,774975,"pop, singer-songwriter pop, uk pop",14156,,Air Canada Centre,Toronto,Ontario,Canada
,Plus Tour,2014-10-03,Ed Sheeran,,53.82996960960025,51332,51332,2763200,"pop, singer-songwriter pop, uk pop",51332,,3Arena,Dublin,Leinster,Ireland
,Plus Tour,2014-10-04,Ed Sheeran,,53.82996960960025,51332,51332,2763200,"pop, singer-songwriter pop, uk pop",51332,,3Arena,Dublin,Leinster,Ireland
,Plus Tour,2014-10-05,Ed Sheeran,,53.82996960960025,51332,51332,2763200,"pop, singer-songwriter pop, uk pop",51332,,3Arena,Dublin,Leinster,Ireland
,Plus Tour,2014-10-06,Ed Sheeran,,53.82996960960025,51332,51332,2763200,"pop, singer-songwriter pop, uk pop",51332,,3Arena,Dublin,Leinster,Ireland
,Plus Tour,2014-10-08,Ed Sheeran,,52.74264633546483,20330,20648,1072258,"pop, singer-songwriter pop, uk pop",20648,,Odyssey Arena,Belfast,Northern Ireland,Northern Ireland
,Plus Tour,2014-10-09,Ed Sheeran,,52.74264633546483,20330,20648,1072258,"pop, singer-songwriter pop, uk pop",20648,,Odyssey Arena,Belfast,Northern Ireland,Northern Ireland
,Plus Tour,2014-10-11,Ed Sheeran,,52.39319175515303,12808,12810,671052,"pop, singer-songwriter pop, uk pop",12810,,First Direct Arena,Leeds,West Yorkshire,England
,Plus Tour,2014-10-12,Ed Sheeran,,58.90767731424914,68748,70368,4049785,"pop, singer-songwriter pop, uk pop",70368,,The O2 Arena,London,England,England
,Plus Tour,2014-10-13,Ed Sheeran,,58.90767731424914,68748,70368,4049785,"pop, singer-songwriter pop, uk pop",70368,,The O2 Arena,London,England,England
,Plus Tour,2014-10-14,Ed Sheeran,,58.90767731424914,68748,70368,4049785,"pop, singer-songwriter pop, uk pop",70368,,The O2 Arena,London,England,England
,Plus Tour,2014-10-15,Ed Sheeran,,58.90767731424914,68748,70368,4049785,"pop, singer-songwriter pop, uk pop",70368,,The O2 Arena,London,England,England
,Plus Tour,2014-10-18,Ed Sheeran,,53.25754437869823,13520,13812,720042,"pop, singer-songwriter pop, uk pop",13812,,National Indoor Arena,Birmingham,England,England
,Plus Tour,2014-10-19,Ed Sheeran,,53.4260629411163,29329,29926,1566933,"pop, singer-songwriter pop, uk pop",29926,,LG Arena,Birmingham,England,England
,Plus Tour,2014-10-20,Ed Sheeran,,53.4260629411163,29329,29926,1566933,"pop, singer-songwriter pop, uk pop",29926,,LG Arena,Birmingham,England,England
,Plus Tour,2014-10-25,Ed Sheeran,,52.738004992142,10817,11153,570467,"pop, singer-songwriter pop, uk pop",11153,,Metro Radio Arena,Newcastle,England,England
,Plus Tour,2014-10-27,Ed Sheeran,,52.74259356716095,32303,32610,1703744,"pop, singer-songwriter pop, uk pop",32610,,Phones 4u Arena,Manchester,England,England
,Plus Tour,2014-10-28,Ed Sheeran,,52.74259356716095,32303,32610,1703744,"pop, singer-songwriter pop, uk pop",32610,,Phones 4u Arena,Manchester,England,England
,Plus Tour,2014-10-30,Ed Sheeran,,52.74264011335013,25408,25408,1340085,"pop, singer-songwriter pop, uk pop",25408,,SSE Hydro,Glasgow,Scotland,Scotland
,Plus Tour,2014-10-31,Ed Sheeran,,52.74264011335013,25408,25408,1340085,"pop, singer-songwriter pop, uk pop",25408,,SSE Hydro,Glasgow,Scotland,Scotland
,Plus Tour,2014-11-03,Ed Sheeran,,43.425592652352,16114,16300,699760,"pop, singer-songwriter pop, uk pop",16300,,Ziggo Dome,Amsterdam,North Holland,Netherlands
,Plus Tour,2014-11-04,Ed Sheeran,,36.44815083393764,8274,8400,301572,"pop, singer-songwriter pop, uk pop",8400,,Forest National,Brussels,Brussels,Belgium
,Plus Tour,2014-11-05,Ed Sheeran,,35.1834179357022,11820,12164,415868,"pop, singer-songwriter pop, uk pop",12164,,ISS Dome,Düsseldorf,,Germany
,Plus Tour,2014-11-06,Ed Sheeran,,35.183399476484,11843,11843,416677,"pop, singer-songwriter pop, uk pop",11843,,O2 World Hamburg,Hamburg,Hamburg,Germany
,Plus Tour,2014-11-12,Ed Sheeran,,43.33614406174075,13994,13994,606446,"pop, singer-songwriter pop, uk pop",13994,,Ericsson Globe,Stockholm,Stockholm County,Sweden
,Plus Tour,2014-11-14,Ed Sheeran,,35.23525476641766,8969,8969,316025,"pop, singer-songwriter pop, uk pop",8969,,Max-Schmeling-Halle,Berlin,Berlin,Germany
,Plus Tour,2014-11-15,Ed Sheeran,,36.40792614992838,6283,6283,228751,"pop, singer-songwriter pop, uk pop",6283,,Porsche-Arena,Stuttgart,,Germany
,Plus Tour,2014-11-17,Ed Sheeran,,39.94116186693148,12084,12084,482649,"pop, singer-songwriter pop, uk pop",12084,,Olympiahalle,Munich,Bavaria,Germany
,Plus Tour,2014-11-18,Ed Sheeran,,35.18340574154528,11739,11742,413018,"pop, singer-songwriter pop, uk pop",11742,,Festhalle Frankfurt,Frankfurt,Hesse,Germany
,Plus Tour,2015-01-26,Ed Sheeran,,38.853180162510505,7138,7138,277334,"pop, singer-songwriter pop, uk pop",7138,,PalaLottomatica,Rome,Lazio,Italy
,Plus Tour,2015-01-27,Ed Sheeran,,43.70977917981072,10144,10144,443392,"pop, singer-songwriter pop, uk pop",10144,,Mediolanum Forum,Milan,,Italy
,Plus Tour,2015-01-28,Ed Sheeran,,62.59815384615385,13000,13000,813776,"pop, singer-songwriter pop, uk pop",13000,,Hallenstadion,Zürich,Zürich,Switzerland
,Plus Tour,2015-01-30,Ed Sheeran,,33.99646482958666,11032,12470,375049,"pop, singer-songwriter pop, uk pop",12470,,Galaxie Amnéville,Amnéville,,France
,Plus Tour,2015-02-01,Ed Sheeran,,31.57895535985424,6586,7570,207979,"pop, singer-songwriter pop, uk pop",7570,,Zénith d'Auvergne,Cournon-d'Auvergne,,France
,Plus Tour,2015-02-02,Ed Sheeran,,36.090235468466986,6073,6073,219176,"pop, singer-songwriter pop, uk pop",6073,,Zénith Paris,Paris,Île-de-France,France
,Plus Tour,2015-02-03,Ed Sheeran,,31.5789857716162,8223,8470,259674,"pop, singer-songwriter pop, uk pop",8470,,Zénith de Nantes,Nantes,,France
,Plus Tour,2015-02-27,Ed Sheeran,,60.0,3000,3000,180000,"pop, singer-songwriter pop, uk pop",3000,,Shangri-La's Barr Al Jissah Resort and Spa,Muscat,,Oman
,Plus Tour,2015-03-01,Ed Sheeran,,39.92,7700,8000,307384,"pop, singer-songwriter pop, uk pop",8000,,Mahalaxmi Racecourse,Mumbai,Maharashtra,India
,Plus Tour,2015-03-03,Ed Sheeran,,59.935,6000,6000,359610,"pop, singer-songwriter pop, uk pop",6000,,Qatar National Convention Centre,Doha,,Qatar
,Plus Tour,2015-03-05,Ed Sheeran,,89.149,10000,10000,891490,"pop, singer-songwriter pop, uk pop",10000,,Dubai Media City,Dubai,Dubai,United Arab Emirates
,Plus Tour,2015-03-07,Ed Sheeran,,86.50642458100559,7160,7160,619386,"pop, singer-songwriter pop, uk pop",7160,,Mercedes-Benz Arena,Shanghai,Shanghai,China
,Plus Tour,2015-03-08,Ed Sheeran,,123.63683252427184,3296,3977,407507,"pop, singer-songwriter pop, uk pop",3977,,SK Olympic Handball Gymnasium,Seoul,Seoul,South Korea
,Plus Tour,2015-03-10,Ed Sheeran,,87.67238530944212,7869,7869,689894,"pop, singer-songwriter pop, uk pop",7869,,AsiaWorld–Expo,Hong Kong,Hong Kong,Hong Kong
,Plus Tour,2015-03-12,Ed Sheeran,,94.38720215219062,10408,10408,982382,"pop, singer-songwriter pop, uk pop",10408,,Mall of Asia Arena,Manila,Metro Manila,Philippines
,Plus Tour,2015-03-14,Ed Sheeran,,95.83871614844534,4985,4985,477756,"pop, singer-songwriter pop, uk pop",4985,,Star Performing Arts Centre,Singapore,Singapore,Singapore
,Plus Tour,2015-03-16,Ed Sheeran,,82.14976565828718,4694,4699,385611,"pop, singer-songwriter pop, uk pop",4699,,Plenary Hall,Kuala Lumpur,Kuala Lumpur,Malaysia
,Plus Tour,2015-03-20,Ed Sheeran,,64.76990833572043,27928,27928,1808894,"pop, singer-songwriter pop, uk pop",27928,,Riverstage,Brisbane,Queensland,Australia
,Plus Tour,2015-03-21,Ed Sheeran,,64.76990833572043,27928,27928,1808894,"pop, singer-songwriter pop, uk pop",27928,,Riverstage,Brisbane,Queensland,Australia
,Plus Tour,2015-03-22,Ed Sheeran,,64.76990833572043,27928,27928,1808894,"pop, singer-songwriter pop, uk pop",27928,,Riverstage,Brisbane,Queensland,Australia
,Plus Tour,2015-03-24,Ed Sheeran,,68.82774661376385,36545,36545,2515310,"pop, singer-songwriter pop, uk pop",36545,,Qantas Credit Union Arena,Sydney,New South Wales,Australia
,Plus Tour,2015-03-25,Ed Sheeran,,68.82774661376385,36545,36545,2515310,"pop, singer-songwriter pop, uk pop",36545,,Qantas Credit Union Arena,Sydney,New South Wales,Australia
,Plus Tour,2015-03-26,Ed Sheeran,,68.82774661376385,36545,36545,2515310,"pop, singer-songwriter pop, uk pop",36545,,Qantas Credit Union Arena,Sydney,New South Wales,Australia
,Plus Tour,2015-03-28,Ed Sheeran,,64.77383068406887,39382,39382,2550923,"pop, singer-songwriter pop, uk pop",39382,,Rod Laver Arena,Melbourne,Victoria,Australia
,Plus Tour,2015-03-29,Ed Sheeran,,64.77383068406887,39382,39382,2550923,"pop, singer-songwriter pop, uk pop",39382,,Rod Laver Arena,Melbourne,Victoria,Australia
,Plus Tour,2015-03-30,Ed Sheeran,,64.77383068406887,39382,39382,2550923,"pop, singer-songwriter pop, uk pop",39382,,Rod Laver Arena,Melbourne,Victoria,Australia
,Plus Tour,2015-04-01,Ed Sheeran,,63.28169014084507,18318,18318,1159194,"pop, singer-songwriter pop, uk pop",18318,,Adelaide Entertainment Centre Arena,Adelaide,South Australia,Australia
,Plus Tour,2015-04-02,Ed Sheeran,,63.28169014084507,18318,18318,1159194,"pop, singer-songwriter pop, uk pop",18318,,Adelaide Entertainment Centre Arena,Adelaide,South Australia,Australia
,Plus Tour,2015-04-04,Ed Sheeran,,67.24631097144419,29276,29692,1968703,"pop, singer-songwriter pop, uk pop",29692,,Perth Arena,Perth,Western Australia,Australia
,Plus Tour,2015-04-05,Ed Sheeran,,67.24631097144419,29276,29692,1968703,"pop, singer-songwriter pop, uk pop",29692,,Perth Arena,Perth,Western Australia,Australia
,Plus Tour,2015-04-08,Ed Sheeran,,74.06878664862427,8868,8868,656842,"pop, singer-songwriter pop, uk pop",8868,,Horncastle Arena,Christchurch,,New Zealand
